date,ticker,open,close,change_pct,volume
2024-07-29,AIU,2.2,4.56,107.27272727272722,12661831
2024-07-23,RGC,0.0947,0.3937,315.73389651531147,51474838
2024-07-22,MIRA,1.31,5.01,282.442748091603,158147596
2024-07-22,CMAX,1.6,5.19,224.375,102642121
2024-07-17,SDST,114.1,244.7,114.46099912357582,500473
2024-07-11,LCFY,2.5,6.1,144.0,46201967
2024-07-11,ZVZZT,12.16,32.8,169.73684210526315,888075
2024-07-10,IVP,85.5,185.0,116.37426900584795,1170441
2024-07-10,KZIA,15.0,33.41,122.73333333333332,9004863
2024-07-08,ZVZZT,25.08,91.0,262.83891547049444,93359
2024-07-05,BENF,17.92,38.72,116.07142857142854,5809710
2024-07-03,KOSS,5.25,10.63,102.4761904761905,70055497
2024-07-02,ZVZZT,25.0,62.33,149.32,204359
2024-06-24,MLGO,3240.0,9000.0,177.77777777777777,225058
2024-06-24,CCM,5.83,11.699,100.6689536878216,211089
2024-06-20,ALUR,30.0,65.0,116.66666666666667,2539556
2024-06-13,ZAPP,0.792,2.43,206.81818181818184,54502216
2024-06-13,NXL,0.637,1.3803,116.68759811616955,8957221
2024-06-12,LGVN,0.8701,1.81,108.0220664291461,74815044
2024-06-12,NTEST,25.0,241.9,867.6,65200
2024-06-12,DDC,15.25,38.5,152.45901639344262,4226175
2024-06-11,ZVZZT,12.1,31.97,164.21487603305783,222396
2024-06-07,ZVZZT,12.1,25.02,106.77685950413223,84761
2024-06-06,ZVZZT,22.0,100.0,354.54545454545456,303071
2024-06-04,CCM,7.901,21.0,165.78914061511202,580499
2024-06-04,MLGO,3060.0,7206.0,135.49019607843138,309673
2024-06-03,ALBT,4.5165,18.45,308.5021587512454,10619324
2024-05-31,BNAI,25.6,54.4,112.49999999999997,6799439
2024-05-31,ADRT.U,13.72,47.0,242.56559766763849,29549
2024-05-31,ADRT,15.0,45.0,200.0,329365
2024-05-30,SMMT,2.85,10.92,283.1578947368421,31992340
2024-05-30,LPA,36.31,258.85,612.8890112916552,201410
2024-05-29,LOTWW,0.6499,1.43,120.03385136174794,847809
2024-05-28,AWIN,3.76,9.14,143.08510638297875,6308990
2024-05-24,LUCY,4.662,19.66,321.70742170742176,47221619
2024-05-17,BNED,18.58,45.0,142.19590958019376,735411
2024-05-16,CRKN,1631.25,5400.0,231.0344827586207,138496
2024-05-16,FFIE,32.488,66.0,103.15193302142329,28425259
2024-05-14,MTC,35.12,71.2,102.73348519362189,527630
2024-05-14,FFIE,3.988,11.408,186.05817452357073,39335919
2024-05-06,NUVO,2.4,5.25,118.75,43437041
2024-05-03,ZVZZT,37.75,100.0,164.90066225165563,124347
2024-05-03,BENF,15.36,54.56,255.20833333333334,3875998
2024-04-24,CSSEP,0.58,1.53,163.7931034482759,2452398
2024-04-23,NCI,21.75,47.5,118.39080459770115,1404586
2024-04-23,ZVZZT,25.025,63.97,155.62437562437563,159442
2024-04-16,WISA,2.68,6.1,127.61194029850745,199659402
2024-04-15,KAVL,2.77,6.3,127.43682310469313,44340994
2024-04-11,ZVZZT,24.93,51.22,105.45527476935419,237067
2024-04-08,ZVZZT,12.1,32.01,164.54545454545453,349805
2024-04-08,WAVE,1.38,4.2,204.34782608695653,36596005
2024-04-05,XXII,5185.35,11053.8,113.17365269461075,23391
2024-04-04,CADL,2.03,6.4,215.2709359605912,143930489
2024-04-02,ZVZZT,27.015,73.72,172.88543401813806,226519
2024-03-28,ZVZZT,50.0,212.26,324.52,99313
2024-03-27,GCTS,12.57,44.0,250.03977724741446,4294545
